2020-09-29T01:03:23.000Z
San Jose,7007,6667,195,13869,
Alajuela,4135,1129,56,5320,
Desamparados,3981,1531,79,5591,
Alajuelita,3028,585,43,3656,
Heredia,2043,1180,49,3272,
Tibas,1254,531,35,1820,
San Carlos,1185,1123,10,2318,
Goicoechea,1171,1248,40,2459,
La Union,1084,804,23,1911,
Puntarenas,926,467,11,1404,
Santa Ana,924,349,13,1286,
Limon,893,579,11,1483,
Curridabat,885,941,24,1850,
Pococi,756,321,8,1085,
Santo Domingo,651,255,7,913,
Aserri,634,425,6,1065,
Cartago,591,553,12,1156,
Escazu,588,669,21,1278,
Vazquez de Coronado,577,525,15,1117,
Montes de Oca,501,272,9,782,
Corredores,445,448,6,899,
San Rafael,409,475,10,894,
Grecia,407,245,12,664,
Talamanca,406,64,4,474,
Naranjo,351,256,5,612,
Liberia,348,111,2,461,
San Ramon,314,452,6,772,
Siquirres,311,389,4,704,
Barva,286,402,8,696,
Santa Barbara,281,233,0,514,
Rio Cuarto,271,31,0,302,
Flores,270,124,1,395,
Belen,269,145,1,415,
San Pablo,269,215,4,488,
Moravia,265,496,10,771,
San Isidro,263,150,7,420,
El Guarco,254,120,3,377,
Matina,246,37,3,286,
Acosta,234,206,2,442,
Oreamuno,221,291,3,515,
Mora,219,262,8,489,
Guacimo,218,171,4,393,
Perez Zeledon,217,45,1,263,
Esparza,217,126,4,347,
Nicoya,205,226,7,438,
Golfito,201,89,1,291,
Sarapiqui,200,146,1,347,
Palmares,186,196,3,385,
Osa,181,34,12,227,
Garabito,157,139,6,302,
Zarcero,154,29,0,183,
Puriscal,150,244,6,400,
Atenas,144,124,3,271,
Buenos Aires,142,12,3,157,
Turrialba,137,71,4,212,
Poas,122,252,2,376,
Santa Cruz,120,141,2,263,
Montes de Oro,116,70,1,187,
Quepos,111,156,4,271,
Coto Brus,95,10,2,107,
Paraiso,84,212,6,302,
Upala,72,177,3,252,
Orotina,67,85,1,153,
Valverde Vega,67,49,0,116,
Carrillo,62,65,3,130,
Los Chiles,59,275,5,339,
Jimenez,53,22,0,75,
Abangares,51,56,0,107,
Guatuso,43,156,2,201,
Cañas,40,154,0,194,
La Cruz,28,141,1,170,
Parrita,28,78,1,107,
Alvarado,25,37,1,63,
Turrubares,20,24,0,44,
Hojancha,16,38,1,55,
Bagaces,14,79,1,94,
Tilaran,10,49,1,60,
San Mateo,9,10,0,19,
Nandayure,7,12,3,22,
Tarrazu,6,17,0,23,
Dota,2,7,0,9,
Leon Cortes,2,33,0,35,
Otro,442,57,0,499,
Otro,430,18,0,448,
