2020-09-11T00:18:43.000Z
San Jose,5498,5445,142,11085,
Alajuela,3045,589,35,3669,
Desamparados,2991,1190,59,4240,
Alajuelita,2289,507,32,2828,
Heredia,1996,448,32,2476,
La Union,977,390,16,1383,
Goicoechea,942,782,27,1751,
Tibas,928,469,23,1420,
San Carlos,906,597,7,1510,
Santa Ana,610,326,10,946,
Curridabat,586,722,17,1325,
Cartago,503,277,5,785,
Limon,468,299,3,770,
Escazu,463,556,20,1039,
Santo Domingo,433,209,4,646,
Corredores,421,338,5,764,
Aserri,391,404,3,798,
Pococi,376,270,3,649,
Vazquez de Coronado,340,423,13,776,
Montes de Oca,327,226,3,556,
San Rafael,311,297,6,614,
Puntarenas,286,304,2,592,
Naranjo,280,175,2,457,
Grecia,267,140,8,415,
Barva,262,224,4,490,
Siquirres,252,85,2,339,
San Pablo,251,126,2,379,
Flores,228,61,1,290,
San Ramon,208,346,5,559,
Belen,204,88,1,293,
El Guarco,198,25,1,224,
Guacimo,195,77,4,276,
Moravia,192,357,7,556,
San Isidro,187,106,3,296,
Santa Barbara,179,159,0,338,
Oreamuno,178,167,2,347,
Golfito,167,59,1,227,
Acosta,162,152,2,316,
Liberia,160,97,2,259,
Osa,158,21,2,181,
Rio Cuarto,147,29,0,176,
Mora,143,189,7,339,
Palmares,130,137,1,268,
Puriscal,119,177,3,299,
Perez Zeledon,118,29,0,147,
Garabito,118,53,3,174,
Talamanca,115,56,1,172,
Nicoya,110,122,3,235,
Paraiso,92,99,3,194,
Atenas,90,82,3,175,
Sarapiqui,88,75,0,163,
Matina,87,22,1,110,
Poas,80,172,2,254,
Turrialba,80,43,2,125,
Quepos,79,75,1,155,
Esparza,78,73,1,152,
Zarcero,70,28,0,98,
Montes de Oro,61,40,0,101,
Los Chiles,58,220,2,280,
Santa Cruz,44,96,1,141,
Coto Brus,44,5,1,50,
Upala,43,140,3,186,
Orotina,39,44,0,83,
Guatuso,36,118,2,156,
Cañas,31,121,0,152,
Parrita,31,42,1,74,
Valverde Vega,30,45,0,75,
Alvarado,28,18,1,47,
Carrillo,26,41,2,69,
Jimenez,25,19,0,44,
Abangares,25,43,0,68,
Buenos Aires,25,9,2,36,
Bagaces,21,56,1,78,
La Cruz,20,119,1,140,
Leon Cortes,19,11,0,30,
Turrubares,11,21,0,32,
Tilaran,11,33,1,45,
Hojancha,7,31,0,38,
Tarrazu,6,12,0,18,
San Mateo,5,7,0,12,
Nandayure,5,5,2,12,
Dota,2,5,0,7,
Otro,448,27,0,475,
Otro,430,18,0,448,
