2020-09-12T23:52:59.000Z
San Jose,5666,5476,145,11287,
Alajuela,3117,624,37,3778,
Desamparados,3086,1192,61,4339,
Alajuelita,2363,507,33,2903,
Heredia,2064,451,33,2548,
La Union,987,414,16,1417,
Goicoechea,972,784,27,1783,
Tibas,970,469,24,1463,
San Carlos,944,604,7,1555,
Santa Ana,627,326,10,963,
Curridabat,597,736,18,1351,
Cartago,499,295,7,801,
Limon,483,309,3,795,
Escazu,479,556,20,1055,
Santo Domingo,458,209,4,671,
Corredores,425,339,5,769,
Aserri,412,405,3,820,
Vazquez de Coronado,381,424,13,818,
Pococi,377,286,3,666,
Montes de Oca,340,226,3,569,
San Rafael,327,299,8,634,
Puntarenas,323,308,2,633,
Naranjo,292,175,2,469,
Grecia,289,141,8,438,
Barva,274,229,5,508,
Siquirres,272,85,2,359,
San Pablo,242,143,2,387,
San Ramon,217,346,5,568,
Flores,213,81,1,295,
El Guarco,210,26,1,237,
Moravia,202,361,7,570,
San Isidro,193,112,3,308,
Belen,191,107,1,299,
Santa Barbara,190,160,0,350,
Guacimo,189,91,4,284,
Liberia,182,97,2,281,
Oreamuno,181,168,2,351,
Golfito,169,61,1,231,
Acosta,167,155,2,324,
Osa,162,21,2,185,
Mora,156,192,7,355,
Rio Cuarto,156,29,0,185,
Talamanca,145,57,1,203,
Palmares,136,137,1,274,
Puriscal,122,179,3,304,
Perez Zeledon,121,29,0,150,
Nicoya,108,137,3,248,
Sarapiqui,104,75,0,179,
Paraiso,97,101,3,201,
Garabito,95,88,3,186,
Atenas,93,82,3,178,
Poas,87,176,2,265,
Matina,87,22,1,110,
Zarcero,81,28,0,109,
Esparza,79,82,1,162,
Quepos,73,86,1,160,
Turrialba,70,56,2,128,
Montes de Oro,65,40,0,105,
Los Chiles,60,222,2,284,
Santa Cruz,54,96,1,151,
Coto Brus,50,5,1,56,
Upala,42,143,3,188,
Orotina,39,51,0,90,
Guatuso,37,121,2,160,
Valverde Vega,35,45,0,80,
Parrita,29,45,1,75,
Alvarado,28,18,1,47,
Carrillo,28,42,2,72,
Cañas,28,126,0,154,
Buenos Aires,28,9,2,39,
Jimenez,25,19,0,44,
Abangares,25,43,0,68,
Bagaces,23,58,1,82,
La Cruz,22,120,1,143,
Leon Cortes,17,13,0,30,
Tilaran,12,34,1,47,
Turrubares,11,21,0,32,
Hojancha,7,31,0,38,
Tarrazu,6,12,0,18,
Nandayure,6,5,2,13,
San Mateo,5,7,0,12,
Dota,2,5,0,7,
Otro,450,25,0,475,
Otro,430,18,0,448,
